
2020-11-18 01:26:13,254 : INFO : files read into PathLineSentences:LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,254 : WARNING : consider setting layer size to a multiple of 4 for greater performance
2020-11-18 01:26:13,254 : INFO : collecting all words and their counts
2020-11-18 01:26:13,254 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:26:13,269 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2020-11-18 01:26:26,199 : INFO : PROGRESS: at sentence #10000, processed 39028698 words, keeping 418805 word types
2020-11-18 01:26:38,000 : INFO : collected 660358 word types from a corpus of 73713636 raw words and 18847 sentences
2020-11-18 01:26:38,000 : INFO : Loading a fresh vocabulary
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 retains 121890 unique words (18% of original 660358, drops 538468)
2020-11-18 01:26:38,642 : INFO : effective_min_count=5 leaves 72923093 word corpus (98% of original 73713636, drops 790543)
2020-11-18 01:26:39,051 : INFO : deleting the raw counts dictionary of 660358 items
2020-11-18 01:26:39,067 : INFO : sample=0.001 downsamples 37 most-common words
2020-11-18 01:26:39,067 : INFO : downsampling leaves estimated 53674829 word corpus (73.6% of prior 72923093)
2020-11-18 01:26:39,468 : INFO : estimated required memory for 121890 words and 50 dimensions: 109701000 bytes
2020-11-18 01:26:39,468 : INFO : resetting layer weights
2020-11-18 01:27:08,798 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:27:15,714 : INFO : training model with 4 workers on 121890 vocabulary and 50 features, using sg=0 hs=0 sample=0.001 negative=10 window=5
2020-11-18 01:27:15,714 : INFO : reading file LARGEST_WEAK_COMPONENT.txt
2020-11-18 01:28:30,325 : INFO : EPOCH 1 - PROGRESS: at 81.13% words, 583691 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:31,317 : INFO : EPOCH 1 - PROGRESS: at 82.24% words, 583866 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:32,332 : INFO : EPOCH 1 - PROGRESS: at 83.34% words, 583878 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:33,335 : INFO : EPOCH 1 - PROGRESS: at 84.45% words, 583979 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:34,336 : INFO : EPOCH 1 - PROGRESS: at 85.57% words, 584128 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:35,338 : INFO : EPOCH 1 - PROGRESS: at 86.67% words, 584217 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:36,355 : INFO : EPOCH 1 - PROGRESS: at 87.79% words, 584273 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:37,378 : INFO : EPOCH 1 - PROGRESS: at 88.87% words, 584144 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:38,374 : INFO : EPOCH 1 - PROGRESS: at 89.97% words, 584186 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:39,391 : INFO : EPOCH 1 - PROGRESS: at 91.06% words, 584113 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:40,406 : INFO : EPOCH 1 - PROGRESS: at 92.17% words, 584142 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:41,454 : INFO : EPOCH 1 - PROGRESS: at 93.29% words, 584114 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:28:42,455 : INFO : EPOCH 1 - PROGRESS: at 94.41% words, 584224 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:43,456 : INFO : EPOCH 1 - PROGRESS: at 95.50% words, 584217 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:44,474 : INFO : EPOCH 1 - PROGRESS: at 96.60% words, 584258 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:45,482 : INFO : EPOCH 1 - PROGRESS: at 97.69% words, 584229 words/s, in_qsize 8, out_qsize 0
2020-11-18 01:28:46,493 : INFO : EPOCH 1 - PROGRESS: at 98.81% words, 584286 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:47,504 : INFO : EPOCH 1 - PROGRESS: at 99.92% words, 584388 words/s, in_qsize 7, out_qsize 0
2020-11-18 01:28:47,536 : INFO : worker thread finished; awaiting finish of 3 more threads
2020-11-18 01:28:47,551 : INFO : worker thread finished; awaiting finish of 2 more threads
2020-11-18 01:28:47,551 : INFO : worker thread finished; awaiting finish of 1 more threads
